Price,address,Type,City,Province,,Number of Bedrooms,Number of Bathrooms,Square Ft.,Sold_date
1406500,525 Wheelhouse Sq ,Apartment, Vancouver,BC,V5Z 4L8,2.00,2.00,1166,8/11/2022
540000,2333 Triumph St ,Apartment, Vancouver,BC,V5L 1L4,1.00,1.00,649,3/1/2022
670000,925 W 10th Ave ,Apartment, Vancouver,BC,V5Z 1L9,1.00,1.00,657,2/22/2022
1100000,788 W 14th Ave ,Apartment, Vancouver,BC,V5Z 1P9,2.00,2.00,1157,7/20/2022
925000,980 W 21st Ave ,Apartment, Vancouver,BC,V5Z 1Z1,2.00,2.50,988,11/15/2022
1560000,1133 Templeton Dr,Single House, Vancouver,BC,V5L 2N9,2.00,2.50,1177,2/24/2022
575000,2033 Triumph St ,Apartment, Vancouver,BC,V5L 4X3,1.00,1.00,663,5/24/2022
4900000,1967 Napier St,Single House, Vancouver,BC,V5L 2N6,8.00,2.00,5038,7/29/2022
500000,2033 Triumph St ,Apartment, Vancouver,BC,V5L 4X3,1.00,1.00,675,4/21/2022
630000,1484 Charles St ,Apartment, Vancouver,BC,V5L 2S8,1.00,1.00,585,8/29/2022
2800000,2081 Napier St,Single House, Vancouver,BC,V5L 2N8,6.00,3.00,2814,4/21/2022
1050000,5920 East Blvd ,Apartment, Vancouver,BC,V6M 3V4,1.00,1.00,749,2/28/2022
820000,2103 W 45th Ave ,Apartment, Vancouver,BC,V6M 3X3,2.00,2.50,859,11/15/2022
3918000,1260 W 38th Ave,Single House, Vancouver,BC,V6M 1R1,4.00,2.50,3832,11/30/2022
2518110,3111 W 43rd Ave,Single House, Vancouver,BC,V6N 3J4,6.00,7.50,6000,11/16/2022
932500,5920 East Blvd ,Apartment, Vancouver,BC,V6M 3V4,1.00,1.00,778,6/30/2022
6053000,6088 Churchill St,Single House, Vancouver,BC,V6M 3H5,4.00,2.50,4734,7/18/2022
750000,525 Wheelhouse Sq ,Apartment, Vancouver,BC,V5Z 4L8,1.00,1.00,707,10/31/2022
1863000,626 W 26th Ave,Single House, Vancouver,BC,V5Z 4H6,3.00,3.50,1756,9/6/2022
700000,997 W 22nd Ave ,Apartment, Vancouver,BC,V5Z 2A2,1.00,1.00,598,6/30/2022
500000,2033 Triumph St ,Apartment, Vancouver,BC,V5L 4X3,1.00,1.00,675,4/21/2022
2070000,3158 E 52nd Ave,Single House, Vancouver,BC,V5S 1T8,4.00,3.50,2254,7/7/2022
1835000,2239 W 7th Ave ,Apartment, Vancouver,BC,V6K 1Y3,3.00,2.50,1301,7/12/2022
5500000,6855 Cypress St,Single House, Vancouver,BC,V6P 5L9,5.00,2.50,2705,4/28/2022
1060000,8555 Granville St ,Apartment, Vancouver,BC,V6P 0C3,2.00,1.50,1018,4/20/2022
1010000,8555 Granville St ,Apartment, Vancouver,BC,V6P 0C3,2.00,2.50,931,2/24/2022
515000,8031 Nunavut Lane ,Apartment, Vancouver,BC,V5X 0C9,1.00,1.00,453,4/13/2022
823000,1688 Pullman Porter St ,Apartment, Vancouver,BC,V6A 0H3,1.00,1.50,674,2/18/2022
1139000,2250 Commercial Dr ,Apartment, Vancouver,BC,V5N 4B5,2.00,1.50,964,3/24/2022
500000,707 E 43rd Ave ,Apartment, Vancouver,BC,V5W 0C1,1.00,1.00,612,6/30/2022
825600,6665 Main St ,Apartment, Vancouver,BC,V5X 3H3,2.00,2.50,1115,3/31/2022
597000,488 SW Marine Dr ,Apartment, Vancouver,BC,V5X 0C7,1.00,1.00,497,6/22/2022
