price_list,address,home_stat
"$1,058,000","1450 W 6th Ave #403, Vancouver, BC V6H 4H9",2 Beds2 Baths980 Sq. Ft.
"$779,000","3333 Main St #409, Vancouver, BC V5V 3M8",1 Bed1 Bath721 Sq. Ft.
"$925,000","1283 Howe St #3603, Vancouver, BC V6Z 0E3",2 Beds1 Bath634 Sq. Ft.
"$5,590,000","4591 W 15th Ave, Vancouver, BC V6R 3B3","5 Beds4.5 Baths4,146 Sq. Ft."
"$1,699,900","2435 Kingsway St Ph 2, Vancouver, BC V5R 5G8","3 Beds2 Baths1,370 Sq. Ft."
"$828,800","289 Alexander St #604, Vancouver, BC V6A 4H6",1 Bed1.5 Baths834 Sq. Ft.
"$1,999,999","2881 E 23rd Ave, Vancouver, BC V5R 1A9","4 Beds3.5 Baths2,439 Sq. Ft."
"$1,350,000","2245 E 42nd Ave, Vancouver, BC V5P 1M2","5 Beds1.5 Baths2,157 Sq. Ft."
"$2,899,000","2029 E 3rd Ave, Vancouver, BC V5N 1H6","6 Beds5 Baths3,026 Sq. Ft."
"$2,699,000","777 Richards St Ph 7, Vancouver, BC V6B 0M6","2 Beds2.5 Baths1,827 Sq. Ft."
"$688,000","1723 Alberni St #405, Vancouver, BC V6G 3G9",1 Bed1 Bath570 Sq. Ft.
"$6,250,000","1935 Mcnicoll Ave, Vancouver, BC V6J 1A7","3 Beds3.5 Baths2,327 Sq. Ft."
"$2,999,888","3636 SW Marine Dr, Vancouver, BC V6N 3Z4","7 Beds7 Baths3,817 Sq. Ft."
"$3,988,000","2832 W 36th Ave, Vancouver, BC V6N 2R1","4 Beds4 Baths4,183 Sq. Ft."
"$549,000","5058 Joyce St #602, Vancouver, BC V5R 0J9",1 Bed1 Bath535 Sq. Ft.
"$838,000","620 Cardero St #1706, Vancouver, BC V6G 0C7",1 Bed1 Bath443 Sq. Ft.
"$675,000","933 Seymour St #408, Vancouver, BC V6B 6L6",1 Bed1 Bath614 Sq. Ft.
"$699,000","1887 Crowe St #807, Vancouver, BC V5Y 0B4",1 Bed1 Bath594 Sq. Ft.
"$749,900","1331 Homer St Unit B901, Vancouver, BC V6B 5M5",1 Bed1 Bath788 Sq. Ft.
"$729,000","1050 Smithe St #1004, Vancouver, BC V6E 4T4",1 Bed1 Bath676 Sq. Ft.
"$874,000","111 W Georgia St #3101, Vancouver, BC V6B 1T8",2 Beds1 Bath817 Sq. Ft.
"$2,398,000","3891 Willow St, Vancouver, BC V5Z 1Z7","3 Beds3.5 Baths2,052 Sq. Ft."
"$1,549,000","33 Smithe St #803, Vancouver, BC V6B 0B5","2 Beds2 Baths1,133 Sq. Ft."
"$1,268,000","1783 Manitoba St #1602, Vancouver, BC V5Y 0K1","2 Beds2 Baths1,000 Sq. Ft."
"$319,999","1251 Cardero St #406, Vancouver, BC V6G 2H9",1 Bed1 Bath442 Sq. Ft.
"$789,000","4838 Fraser St #210, Vancouver, BC V5V 4H4","2 Beds1 Bath1,177 Sq. Ft."
