 price_list ,Address,Type,City,Province,Postal Code,Number of Bedroom,Number of Bathroom,Square Ft
849000,1720 W 12th Ave ,Apartment, Vancouver,BC,V6J 2E6,2,1.5,1164
1788000,460 W 35th Ave,Single House, Vancouver,BC,V5Z 2Z7,3,2.5,1490
1298000,3605 Monmouth Ave,Single House, Vancouver,BC,V5R 4K2,3,2.5,1239
1098000,5775 Hampton Pl ,Apartment, Vancouver,BC,V6T 2G6,2,2,1288
2898000,3870 W 17th Ave,Single House, Vancouver,BC,V6S 1A4,4,2,1585
2199900,5118 Cambie St ,Apartment, Vancouver,BC,V5Z 2Z7,3,3,1392
3600000,1708 Ontario St ,Apartment, Vancouver,BC,V5T 0J7,4,3,1623
2669900,5118 Cambie St ,Apartment, Vancouver,BC,V5Z 2Z7,3,3,1614
1769900,1708 Ontario St ,Apartment, Vancouver,BC,V5T 0J7,3,2,1109
863000,1949 W 8th Ave ,Apartment, Vancouver,BC,V6J 1W2,1,1,865
949900,1111 Richards St ,Apartment, Vancouver,BC,V6B 0S3,1,1,629
988000,518 Moberly Rd ,Apartment, Vancouver,BC,V5Z 4G3,2,1.5,1045
6498000,6311 Larch St,Single House, Vancouver,BC,V6M 4E8,5,6.5,4925
649900,8575 Rivergrass Dr ,Apartment, Vancouver,BC,V5S 0H4,1,1,630
660000,231 E Pender St ,Apartment, Vancouver,BC,V6A 0G3,1,1,660
739000,1949 Beach Ave ,Apartment, Vancouver,BC,V6G 1Z2,1,1,796
1199800,628 W 13th Ave,Apartment, Vancouver,BC,V5Z 1N9,2,2,1339
2899000,977 W 20th Ave,Single House, Vancouver,BC,V5Z 1Y4,5,3,2602
379900,830 E 7th Ave ,Apartment, Vancouver,BC,V5T 4J2,1,1,439
599000,5355 Boundary Rd ,Apartment, Vancouver,BC,V5R 6G2,1,1,610
1038000,1288 Alberni St ,Apartment, Vancouver,BC,V6E 4N5,2,2,911
1979900,828 Cambie St ,Apartment, Vancouver,BC,V6B 2P6,3,2,1012
2699900,1480 Howe St ,Apartment, Vancouver,BC,V6Z 0G5,2,2.5,1335
628000,5058 Joyce St ,Apartment, Vancouver,BC,V5R 0J9,1,1,439
938800,3263 Pierview Cres ,Apartment, Vancouver,BC,V5S 0C3,2,2,1089
2891460,1380 W King Edward Ave,Apartment, Vancouver,BC,V6H 1Z9,4,3.5,2022
3498000,1390 W King Edward Ave,Apartment, Vancouver,BC,V6H 1Z9,3,3.5,2613
4360000,2127 W 21st Ave,Single House, Vancouver,BC,V6L 1J2,7,4.5,4342
2450000,4238 W 13th Ave,Single House, Vancouver,BC,V6R 2T8,4,2,1831
2328000,3205 Kitchener St,Single House, Vancouver,BC,V5K 3G1,6,4,2283
888000,1495 Richards St ,Apartment, Vancouver,BC,V6Z 3E3,1,1,741
2199000,1256 E 41st Ave,Single House, Vancouver,BC,V5W 1R4,6,5.5,2252
1249000,388 Drake St ,Apartment, Vancouver,BC,V6B 6A8,2,2,1096
1888000,3487 Binning Rd ,Apartment, Vancouver,BC,V6S 0K8,3,2,1023
3499000,3066 W 3rd Ave,Single House, Vancouver,BC,V6K 1N1,4,2.5,2309
1299000,623 Victoria Dr,Single House, Vancouver,BC,V5L 0C3,3,2,1202
