price_list,address,home_stat,date_sold
"$685,080","2101 McMullen Ave #508, Vancouver, BC V6L 3B4",1 Bed1 Bath910 Sq. Ft.,"SOLD APR 5, 2022"
"$545,000","501 Pacific St #1001, Vancouver, BC V6Z 2X6",—Beds1 Bath507 Sq. Ft.,"SOLD NOV 22, 2022"
"$950,000","2263 Redbud Lane #311, Vancouver, BC V6K 4V7",1 Bed1 Bath719 Sq. Ft.,"SOLD JUN 28, 2022"
"$1,926,000","283 W 63rd Ave, Vancouver, BC V5X 2H9","7 Beds3 Baths2,108 Sq. Ft.","SOLD OCT 13, 2022"
"$4,831,000","2393 McBain Ave, Vancouver, BC V6L 2C5","4 Beds6 Baths3,894 Sq. Ft.","SOLD DEC 5, 2022"
"$1,522,000","2328 Windsor St, Vancouver, BC V5T 3Z5","3 Beds2.5 Baths1,150 Sq. Ft.","SOLD MAY 6, 2022"
"$1,890,000","583 Beach Cres #2602, Vancouver, BC V6Z 3E6","2 Beds2 Baths1,150 Sq. Ft.","SOLD JUL 15, 2022"
"$1,530,000","1408 Strathmore Mews #801, Vancouver, BC V6Z 3B1","2 Beds2 Baths1,060 Sq. Ft.","SOLD APR 28, 2022"
"$605,000","789 Drake St #703, Vancouver, BC V6Z 2N7",2 Beds2 Baths689 Sq. Ft.,"SOLD MAR 31, 2022"
"$3,500,000","416 E 63rd Ave, Vancouver, BC V5X 2K2","8 Beds6.5 Baths3,403 Sq. Ft.","SOLD SEP 12, 2022"
"$1,200,000","1160 Burrard St #803, Vancouver, BC V6Z 2E8","2 Beds1.5 Baths1,121 Sq. Ft.","SOLD APR 4, 2022"
"$1,070,000","2688 Watson St #303, Vancouver, BC V5T 4T6",2 Beds1 Bath952 Sq. Ft.,"SOLD MAR 4, 2022"
"$3,300,000","3122 W 16th Ave, Vancouver, BC V6K 3E1","2 Beds1 Bath1,968 Sq. Ft.","SOLD MAR 2, 2022"
"$440,000","711 E 6th Ave #302, Vancouver, BC V5T 1L7",—Beds1 Bath474 Sq. Ft.,"SOLD JUL 18, 2022"
"$2,625,000","536 E 8th Ave, Vancouver, BC V5T 1S8","3 Beds1 Bath1,100 Sq. Ft.","SOLD MAY 27, 2022"
"$1,500,000","549 E 7th Ave, Vancouver, BC V5T 1N8","2 Beds2 Baths1,226 Sq. Ft.","SOLD SEP 20, 2022"
"$1,078,750","5920 East Blvd #301, Vancouver, BC V6M 3V4",1 Bed1 Bath863 Sq. Ft.,"SOLD JUN 30, 2022"
"$875,000","2083 W 33rd Ave #216, Vancouver, BC V6M 4M6",2 Beds2.5 Baths815 Sq. Ft.,"SOLD MAR 16, 2022"
"$1,050,000","5920 East Blvd #206, Vancouver, BC V6M 3V4",1 Bed1 Bath749 Sq. Ft.,"SOLD FEB 28, 2022"
"$1,825,000","5890 Balsam St #700, Vancouver, BC V6M 4B9","3 Beds2.5 Baths1,586 Sq. Ft.","SOLD FEB 23, 2022"
"$820,000","2103 W 45th Ave #204, Vancouver, BC V6M 3X3",2 Beds2.5 Baths859 Sq. Ft.,"SOLD NOV 15, 2022"
"$3,500,000","2129 W 35th Ave, Vancouver, BC V6M 1J2","5 Beds6 Baths3,523 Sq. Ft.","SOLD MAR 31, 2022"
